code,name,current_price,box_bottom,box_top,box_height_pct,price_position_pct,box_length_weeks,top_touches,bottom_touches,vol_ratio,prior_decline_pct,score,start_date,end_date
688187,时代电气,47.13,41.06,47.84,16.5,89.5,13,5,4,1.38,21.7,129.8,2024-12-20,2025-03-14
688223,晶科能源,5.69,4.85,5.71,17.7,97.7,14,4,2,1.46,29.1,127.5,2025-05-23,2025-08-22
688271,联影医疗,114.63,91.67,119.64,30.5,82.1,15,7,2,1.35,14.5,127.5,2024-06-21,2024-09-27
688256,寒武纪,999.66,785.57,1045.98,33.1,82.2,19,4,3,0.91,21.5,117.9,2025-09-05,2026-01-09
688169,石头科技,126.82,110.0,135.8,23.5,65.2,11,2,2,1.93,32.7,109.4,2026-03-13,2026-05-22
688303,大全能源,32.0,25.88,34.04,31.5,75.0,9,2,2,1.12,24.7,98.1,2025-09-12,2025-11-07
